"month","decade","temp.mean","wv.mean","wind.2m.mean","rain.rate.mean","temp.min","wv.min","wind.2m.min","rain.rate.min","temp.max","wv.max","wind.2m.max","rain.rate.max","temp.n","wv.n","wind.2m.n","rain.rate.n"
1,1980,2.197,5.166,3.962,0.0491,1.031,3.797,2.912,0.0125,4.165,7.126,5.466,0.08627,6,6,6,6
2,1980,2.491,5.726,4.392,0.0747,1.926,4.516,3.464,0.02321,3.23,7.591,5.823,0.1324,6,6,6,6
3,1980,2.433,4.936,3.786,0.09441,1.483,3.715,2.849,0.05806,3.644,6.161,4.726,0.137,6,6,6,6
4,1980,5.86,4.374,3.355,0.0398,5.072,3.367,2.582,0.02917,6.233,5.822,4.465,0.05551,6,6,6,6
5,1980,11.04,4.15,3.183,0.03828,10.22,2.94,2.255,0.02238,11.94,5.626,4.315,0.06183,6,6,6,6
6,1980,13.9,3.152,2.418,0.08124,12.9,1.932,1.482,0.05742,14.93,4.363,3.347,0.1108,6,6,6,6
7,1980,15.7,3.757,2.882,0.09386,15.25,2.437,1.869,0.08242,16.06,5.206,3.993,0.1048,6,6,6,6
8,1980,14.76,3.904,2.995,0.1059,14.12,2.235,1.715,0.08886,15.54,5.766,4.423,0.1211,6,6,6,6
9,1980,12.71,3.835,2.941,0.09264,12.15,2.325,1.784,0.06229,13.08,5.489,4.21,0.1178,6,6,6,6
10,1980,9.228,4.483,3.439,0.1077,8.82,3.256,2.497,0.07177,9.672,6.063,4.651,0.1574,6,6,6,6
11,1980,4.455,3.979,3.052,0.06831,3.908,2.882,2.211,0.02729,5.178,5.571,4.273,0.09073,6,6,6,6
12,1980,3.022,4.855,3.724,0.07657,2.74,3.546,2.72,0.05222,3.633,6.513,4.995,0.09158,6,6,6,6
1,1990,1.465,5.1,3.912,0.09227,1.151,3.889,2.983,0.06859,1.775,6.876,5.274,0.1071,6,6,6,6
2,1990,1.705,5.413,4.152,0.08332,1.437,4.088,3.135,0.05162,1.96,7.535,5.78,0.1101,6,6,6,6
3,1990,3.461,5.138,3.941,0.06889,3.203,3.852,2.955,0.04885,4.023,6.959,5.337,0.08679,6,6,6,6
4,1990,6.763,4.532,3.476,0.05579,6.116,3.465,2.658,0.04986,7.217,6.052,4.642,0.06043,6,6,6,6
5,1990,10.84,3.942,3.024,0.05128,10.09,2.811,2.156,0.04338,11.31,5.408,4.148,0.05976,6,6,6,6
6,1990,13.74,3.727,2.859,0.08419,12.96,2.353,1.805,0.07193,14.14,5.495,4.215,0.09794,6,6,6,6
7,1990,16.27,3.542,2.717,0.07366,15.46,2.202,1.689,0.06013,16.72,5.144,3.945,0.1009,6,6,6,6
8,1990,16.57,3.491,2.677,0.0997,16.04,2.095,1.607,0.07792,17.06,5.094,3.907,0.1155,6,6,6,6
9,1990,12.83,3.836,2.942,0.1174,12.48,2.474,1.898,0.09592,13.13,5.787,4.439,0.1336,6,6,6,6
10,1990,8.573,4.137,3.173,0.1081,8.197,3.028,2.323,0.07677,8.779,5.548,4.255,0.1345,6,6,6,6
11,1990,4.322,4.311,3.306,0.0948,4.015,3.399,2.607,0.07279,4.754,6.174,4.736,0.1281,7,7,7,7
12,1990,1.681,4.578,3.512,0.09814,1.226,3.585,2.75,0.07441,2.109,6.147,4.715,0.1241,7,7,7,7
1,2000,1.94,4.98,3.82,0.09382,1.548,4.057,3.112,0.06161,2.44,6.787,5.206,0.119,7,7,7,7
2,2000,1.718,4.517,3.465,0.07931,1.29,3.592,2.755,0.05233,2.217,6.246,4.79,0.1086,7,7,7,7
3,2000,3.083,4.49,3.444,0.07024,2.657,3.823,2.932,0.04913,3.726,5.828,4.47,0.09146,7,7,7,7
4,2000,7.612,3.957,3.035,0.0552,7.272,3.333,2.556,0.04185,8.186,4.955,3.801,0.07022,7,7,7,7
5,2000,11.64,3.741,2.869,0.07459,10.94,2.862,2.195,0.05805,12.15,5.075,3.892,0.09421,7,7,7,7
6,2000,14.31,3.774,2.895,0.09551,13.71,2.697,2.069,0.07986,14.88,5.231,4.012,0.1163,7,7,7,7
7,2000,16.77,3.264,2.503,0.1109,16.27,2.339,1.794,0.07922,17.19,4.499,3.451,0.1352,7,7,7,7
