station,date,temp,wv
6069,1999-11-03,8.8,3.7
6069,1999-11-04,10.1,4.4
6069,1999-11-05,6,6.6
6069,1999-11-06,8.3,4.4
6069,1999-11-07,7.7,1.3
6069,1999-11-08,5.2,1
6069,1999-11-09,6.4,2.9
6069,1999-11-10,3.9,2.4
6069,1999-11-11,3.4,2.1
6069,1999-11-12,6.6,3.7
6069,1999-11-13,8.9,4.7
6069,1999-11-14,3,3
6069,1999-11-15,0,2.6
6069,1999-11-16,2.8,7.1
6069,1999-11-17,0.1,2.1
6069,1999-11-18,0.5,2.9
6069,1999-11-19,2.1,5
6069,1999-11-20,0.6,3.7
6069,1999-11-21,-0.7,0.7
6069,1999-11-22,0,1.3
6069,1999-11-23,2,1.5
6069,1999-11-24,4.7,4.1
6069,1999-11-25,8.4,3.9
6069,1999-11-26,8.6,6.9
6069,1999-11-27,6.8,4.9
6069,1999-11-28,7.5,7.5
6069,1999-11-29,6.5,7.4
6069,1999-11-30,4.9,7.3
6069,1999-12-01,5.4,9
6069,1999-12-02,2.5,4.5
6069,1999-12-03,2.6,8.2
6069,1999-12-04,1.3,5.5
6069,1999-12-05,-0.5,4
6069,1999-12-06,5.6,8.5
6069,1999-12-07,6.3,5
6069,1999-12-08,5,5.4
6069,1999-12-09,6.2,7
6069,1999-12-10,4.6,4.7
6069,1999-12-11,2.3,4.5
6069,1999-12-12,1,3.1
6069,1999-12-13,-0.3,2.5
6069,1999-12-14,-1.6,5
6069,1999-12-15,-3.3,6
6069,1999-12-16,-2.5,4
6069,1999-12-17,3.7,9
6069,1999-12-18,-0.6,7.4
6069,1999-12-19,-2.1,3.7
6069,1999-12-20,-3.4,1.5
6069,1999-12-21,-6,2.1
6069,1999-12-22,0,6.7
6069,1999-12-23,2.3,5.9
6069,1999-12-24,4.1,5.2
6069,1999-12-25,5.3,3.6
6069,1999-12-26,1.2,0.2
6069,1999-12-27,1,0.3
6069,1999-12-28,-1.4,0.2
6069,1999-12-29,-1.8,0.1
6069,1999-12-30,0.4,0
6069,1999-12-31,0.7,0.1
6069,2000-01-01,3.8,4.4
6069,2000-01-02,4.4,5.3
6069,2000-01-03,5,5.6
6069,2000-01-04,4,4.9
6069,2000-01-05,2.9,4
6069,2000-01-06,5.3,7.5
6069,2000-01-07,3.8,5.8
6069,2000-01-08,6,7
6069,2000-01-09,3.4,4
6069,2000-01-10,2.5,4.3
6069,2000-01-11,5.5,5.8
6069,2000-01-12,5.5,7.9
6069,2000-01-13,2.4,6.1
6069,2000-01-14,0.4,2.1
6069,2000-01-15,1.3,2.6
6069,2000-01-16,5.1,6.8
6069,2000-01-17,7,12
6069,2000-01-18,4.2,8.3
6069,2000-01-19,0.8,3.2
6069,2000-01-20,4.6,8.3
6069,2000-01-21,-0.6,3.8
6069,2000-01-22,-2.6,5.6
6069,2000-01-23,-4.9,1.4
6069,2000-01-24,-5.9,2.4
6069,2000-01-25,0.3,2.4
6069,2000-01-26,3.2,6.4
6069,2000-01-27,4.5,6.8
6069,2000-01-28,3.5,4.9
6069,2000-01-29,5.7,10
6069,2000-01-30,2.6,11.5
6069,2000-01-31,3.6,8.1
6069,2000-02-01,5.2,5.4
6069,2000-02-02,3.8,7.5
6069,2000-02-03,2.6,5.1
6069,2000-02-04,6.1,7.7
6069,2000-02-05,7.4,6.4
6069,2000-02-06,6.5,5.5
6069,2000-02-07,5.8,7.6
6069,2000-02-08,5.5,6.1
6069,2000-02-09,3.7,7.6
6069,2000-02-10,4.8,7.5
6069,2000-02-11,5,6.2
6069,2000-02-12,4.2,7.7
6069,2000-02-13,2.1,5.7
6069,2000-02-14,1.7,5.6
6069,2000-02-15,3.3,4.9
6069,2000-02-16,1,3
6069,2000-02-17,0.6,1.9
6069,2000-02-18,0,5.1
6069,2000-02-19,0.8,4.5
6069,2000-02-20,-0.7,2.1
6069,2000-02-21,-1.1,2.1
6069,2000-02-22,-0.2,5
6069,2000-02-23,0.4,4
6069,2000-02-24,3.2,6.6
6069,2000-02-25,3.5,6.7
6069,2000-02-26,4.4,4.5
6069,2000-02-27,4.6,8.2
6069,2000-02-28,5.4,6.5
6069,2000-02-29,4.3,7.8
6069,2000-03-01,3.6,7.4
6069,2000-03-02,2.5,7.7
6069,2000-03-03,3.7,9.9
6069,2000-03-04,0.9,7.2
6069,2000-03-05,1.1,6.5
6069,2000-03-06,5.9,8.8
6069,2000-03-07,4.4,5.9
6069,2000-03-08,5.8,7.7
6069,2000-03-09,2.8,5.8
6069,2000-03-10,1,3.5
6069,2000-03-11,2.1,4.5
6069,2000-03-12,2.9,3.1
6069,2000-03-13,4.6,4.7
6069,2000-03-14,3.8,6.8
6069,2000-03-15,2.2,6.7
6069,2000-03-16,2.3,4.4
6069,2000-03-17,4,2.5
6069,2000-03-18,3.1,2.6
6069,2000-03-19,3.6,4.4
6069,2000-03-20,6,5.9
6069,2000-03-21,7.3,5.2
6069,2000-03-22,4.1,3.9
6069,2000-03-23,3.4,3.4
6069,2000-03-24,2.4,5.3
6069,2000-03-25,3.2,4.5
6069,2000-03-26,3.5,1.9
6069,2000-03-27,1.3,5.3
6069,2000-03-28,1.1,5.6
6069,2000-03-29,1.7,3
6069,2000-03-30,4,2.7
6069,2000-03-31,3.5,3.1
6069,2000-04-01,4.6,4.6
6069,2000-04-02,4.7,2.8
6069,2000-04-03,7.4,6.4
6069,2000-04-04,5.3,4.5
6069,2000-04-05,1.5,6
6069,2000-04-06,4.7,6
6069,2000-04-07,7.4,3.9
6069,2000-04-08,5.7,1.8
6069,2000-04-09,3.8,2.8
6069,2000-04-10,5.7,2
6069,2000-04-11,5,3.6
6069,2000-04-12,4.4,4
6069,2000-04-13,4.3,4
6069,2000-04-14,4.9,2.8
6069,2000-04-15,6.1,2.6
6069,2000-04-16,6.9,4.6
6069,2000-04-17,6.8,5.2
6069,2000-04-18,8.6,5.1
6069,2000-04-19,7.4,3.4
6069,2000-04-20,10.5,4.3
6069,2000-04-21,11.7,4.8
6069,2000-04-22,10.1,4.7
6069,2000-04-23,10,2.4
6069,2000-04-24,7.7,3.2
6069,2000-04-25,8.2,2.7
6069,2000-04-26,10.3,5.3
6069,2000-04-27,11.8,3.6
6069,2000-04-28,15.7,5.9
6069,2000-04-29,17.9,5.4
6069,2000-04-30,17.2,1.7
6069,2000-05-01,14.5,2.1
6069,2000-05-02,12.2,4.8
6069,2000-05-03,11.9,1.8
6069,2000-05-04,11.8,2.7
6069,2000-05-05,12,2.2
6069,2000-05-06,12.4,2.4
6069,2000-05-07,12.8,4.3
6069,2000-05-08,14.2,2.9
6069,2000-05-09,14.8,3.1
6069,2000-05-10,15.7,2.4
6069,2000-05-11,13.2,3.7
6069,2000-05-12,10.6,3.2
6069,2000-05-13,12.7,2.7
6069,2000-05-14,14.8,2.7
6069,2000-05-15,17.6,2
6069,2000-05-16,19.1,3.9
6069,2000-05-17,14.3,4.7
6069,2000-05-18,10.2,4.7
6069,2000-05-19,9.8,2.6
6069,2000-05-20,10.3,2
6069,2000-05-21,9.2,2.5
6069,2000-05-22,9.2,3
6069,2000-05-23,11.4,4.1
6069,2000-05-24,11.7,4.9
6069,2000-05-25,8.3,4
6069,2000-05-26,10.9,4.5
6069,2000-05-27,11.1,7.1
6069,2000-05-28,10.4,6.4
6069,2000-05-29,9.2,6.3
6069,2000-05-30,8.8,6
6069,2000-05-31,9.6,4.3
6069,2000-06-01,11.2,3.8
6069,2000-06-02,12.2,5.2
6069,2000-06-03,10.3,4.2
6069,2000-06-04,8.3,1.6
6069,2000-06-05,11.2,3
6069,2000-06-06,9.4,2.4
6069,2000-06-07,9.7,4.5
6069,2000-06-08,11.7,5
6069,2000-06-09,14.2,5.8
6069,2000-06-10,15.9,4.8
6069,2000-06-11,13.4,4
6069,2000-06-12,13,5.2
6069,2000-06-13,13.9,5.9
6069,2000-06-14,11.9,4.5
6069,2000-06-15,10.2,5.8
6069,2000-06-16,10.4,6.2
6069,2000-06-17,12.2,2.8
6069,2000-06-18,13.6,4
6069,2000-06-19,19.3,3.9
6069,2000-06-20,22.4,2.7
6069,2000-06-21,21.4,4.2
