"source","sep.meth","slurry.source","set","DM.lf","DM.raw","DM.sf","TAN.sep.eff.lf","TAN.sep.eff.sf","pH.lf","pH.raw","pH.sf","dDM.lf","dDM.sf","rdDM.lf","rdDM.sf","dpH.lf","dpH.sf"
"Aguirre-Villegas et al. (2019)","centrifuge","digestate",8,2.8,4.6,27.6,82.1007897202516,0.542096104939098,NA,NA,NA,-1.8,23,-39.1304347826087,500,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","cattle",2,4.7,7.9,33.6,83.6081430052721,0.244009655992228,NA,NA,NA,-3.2,25.7,-40.506329113924,325.316455696203,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","cattle",9,5.8,9.7,37.1,71.1334294417856,0.171074734033793,NA,NA,NA,-3.9,27.4,-40.2061855670103,282.474226804124,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",1,3.8,5.3,32.6,107.90749475891,0.281018978263269,NA,NA,NA,-1.5,27.3,-28.3018867924528,515.094339622642,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",3,3.9,8,31.8,84.9606890970054,1.04684549273519,NA,NA,NA,-4.1,23.8,-51.25,297.5,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",4,3.2,5,25.7,8.95862365591398,0.331612903225806,NA,NA,NA,-1.8,20.7,-36,414,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",5,3.3,4.9,29.3,108.274201988488,0.446030160315875,NA,NA,NA,-1.6,24.4,-32.6530612244898,497.959183673469,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",6,3.3,4.9,31.3,85.9454791925869,0.232493361311768,NA,NA,NA,-1.6,26.4,-32.6530612244898,538.775510204082,NA,NA
"Aguirre-Villegas et al. (2019)","screw press","digestate",7,3.9,5.9,27.5,90.7497845446711,0.294777191320044,NA,NA,NA,-2,21.6,-33.8983050847458,366.101694915254,NA,NA
"Amon et al. (2006)","screw press","cattle",1,5.97,9.24,20.94,73.6760144492807,12.9392543047879,NA,NA,NA,-3.27,11.7,-35.3896103896104,126.623376623377,NA,NA
"Anderson et al, in prep","screw press","cattle",1,4.6,9,NA,90.0277008310249,NA,7.1,6.8,NA,-4.4,NA,-48.8888888888889,NA,0.3,NA
"Bachmann et al. (2016)","screw press","digestate",1,4.845,6.805,33.65,85,10,7.9,7.7,8.95,-1.96,26.845,-28.8023512123439,394.489346069067,0.2,1.25
"Balsari et al. (2008a)","screw press","pig",1,2.4,3.5,23.2,94.7115384615385,5.8173076923077,8,7.8,8.4,-1.1,19.7,-31.4285714285714,562.857142857143,0.2,0.600000000000001
"Balsari et al. (2008a)","screw press","pig",2,2.1,3.5,28.9,99.5149253731343,6.52985074626864,7.8,7.8,8.2,-1.4,25.4,-40,725.714285714286,0,0.399999999999999
"Balsari et al. (2008b)","screw press","cattle",3,4.4,5.7,22.8,92,6.85714285714286,7.8,7.6,8.7,-1.3,17.1,-22.8070175438596,300,0.2,1.1
"Balsari et al. (2008b)","screw press","cattle",4,4.4,7.1,20.9,97.4666666666667,13.0666666666667,7.8,7.5,8.2,-2.7,13.8,-38.0281690140845,194.366197183099,0.3,0.699999999999999
"Cavalli et al. (2017)","screw press","digestate",1,4.79,6.51,25.65,93,7,8,8,9.6,-1.72,19.14,-26.42089093702,294.009216589862,0,1.6
"Fournel et al. (2019)","centrifuge","cattle",1,4.03,6.3,33.9,139.878869038561,0.901138133492831,7.5,7.07,8.7,-2.27,27.6,-36.031746031746,438.095238095238,0.43,1.63
"Fournel et al. (2019)","centrifuge","cattle",4,4.23,7.8,33.5,158.67575886175,2.18776475707079,7.39,6.97,8.47,-3.57,25.7,-45.7692307692308,329.48717948718,0.42,1.5
"Fournel et al. (2019)","screw press","cattle",3,5,6.17,26.23,117.482434821232,11.8812785551689,7.13,7.03,8.47,-1.17,20.06,-18.9627228525122,325.121555915721,0.0999999999999996,1.44
"Fournel et al. (2019)","screw press","cattle",6,5.2,7.8,24.27,138.106031864173,3.32995826677847,7.07,7,8.5,-2.6,16.47,-33.3333333333333,211.153846153846,0.0700000000000003,1.5
"Gooch et al. (2005)","screw press","cattle",4,4.93,9.96,25.3,77.1,20.2,NA,NA,NA,-5.03,15.34,-50.5020080321285,154.016064257028,NA,NA
"Gooch et al. (2005)","screw press","digestate",1,5.06,8.32,24.6,81.3,14.5,NA,NA,NA,-3.26,16.28,-39.1826923076923,195.673076923077,NA,NA
"Gooch et al. (2005)","screw press","digestate",2,4.06,7.45,23.7,87.5,13.8,NA,NA,NA,-3.39,16.25,-45.503355704698,218.120805369128,NA,NA
"Gooch et al. (2005)","screw press","digestate",3,5.19,5.5,29.3,93.3,0.7,NA,NA,NA,-0.31,23.8,-5.63636363636363,432.727272727273,NA,NA
"Højgaards (2009)","screw press","cattle",1,4.25,7.98,32.8,86,15,NA,NA,NA,-3.73,24.82,-46.7418546365915,311.027568922306,NA,NA
"Højgaards (2009)","screw press","cattle",2,4.97,7.98,33.8,84,12,NA,NA,NA,-3.01,25.82,-37.719298245614,323.558897243108,NA,NA
"Højgaards (2009)","screw press","cattle",3,4.89,7.98,28.7,89,14,NA,NA,NA,-3.09,20.72,-38.7218045112782,259.649122807018,NA,NA
"Højgaards (2009)","screw press","cattle",4,5.04,7.98,22.8,90,19,NA,NA,NA,-2.94,14.82,-36.8421052631579,185.714285714286,NA,NA
"Højgaards (2020)","screw press","digestate",1,5.3,6.9,28.3,71.4681789540013,28.5318210459987,NA,NA,NA,-1.6,21.4,-23.1884057971015,310.144927536232,NA,NA
"Holly et al. (2017)","screw press","cattle",2,2.1,2.7,37.7,102.522624928956,0.161762777073406,6.6,6.8,8.9,-0.6,35,-22.2222222222222,1296.2962962963,-0.2,2.1
"Holly et al. (2017)","screw press","digestate",1,2.9,5.1,38.1,96.0181451612903,1.37348790322581,7.8,7.7,9.2,-2.2,33,-43.1372549019608,647.058823529412,0.0999999999999996,1.5
"Møller et al. (2000)","screw press","cattle",2,4.2,7.1,32.3,NA,NA,NA,7.2,NA,-2.9,25.2,-40.8450704225352,354.929577464789,NA,NA
"Møller et al. (2000)","screw press","cattle",3,3.3,7.1,21.6,NA,NA,NA,7.2,NA,-3.8,14.5,-53.5211267605634,204.225352112676,NA,NA
"Møller et al. (2000)","screw press","pig",7,3.2,5.7,31.7,NA,NA,NA,7.2,NA,-2.5,26,-43.859649122807,456.140350877193,NA,NA
"Møller et al. (2000)","screw press","pig",8,3.2,5.7,21.9,NA,NA,NA,7.2,NA,-2.5,16.2,-43.859649122807,284.210526315789,NA,NA
"Møller et al. (2002)","centrifuge","cattle",5,3.02,6.37,19.91,NA,NA,NA,7.4,NA,-3.35,13.54,-52.5902668759812,212.558869701727,NA,NA
"Møller et al. (2002)","centrifuge","cattle",6,2.75,5.48,20.78,NA,NA,NA,7.4,NA,-2.73,15.3,-49.8175182481752,279.197080291971,NA,NA
"Møller et al. (2002)","centrifuge","cattle",7,2.46,4.49,21.24,NA,NA,NA,7.9,NA,-2.03,16.75,-45.2115812917595,373.051224944321,NA,NA
