General info;;;;;Separation efficiency;;;;Samples;;;Notes;;;;;;;;;
Source;Separation method;Slurry source;Fraction studied;Set;Dry matter separation efficiency (%);Total ammoniacal nitrogen (TAN) separation efficiency (%);% mass after separation;Separation efficiency source in original publication;Dry matter (%);pH;Total ammoniacal nitrogen (TAN) (g/kg);Notes;;;;;;;;;
source;sep.meth;slurry.source;frac;set;DM.sep.eff;TAN.sep.eff;Mass.sep.eff;sep.eff.source;DM;pH;TAN;Notes;;;;;;;;;
Bauer et al. (2009);screw press;digestate;lf;1;38.2;;79.2;;;;;data is pooled for screw press and rotary screen separator in the paper;;;;;;;;;
Bauer et al. (2009);screw press;digestate;sf;1;61.8;;20.8;;;;;data is pooled for screw press and rotary screen separator in the paper;;;;;;;;;
Balsari et al. (2008a);screw press;pig;raw;1;;;;;3.5;7.8;3;;;;;;;;;;
Balsari et al. (2008a);screw press;pig;lf;1;65;95;95;calculated;2.4;8;3;;;;;;;;;;
Balsari et al. (2008a);screw press;pig;sf;1;35;6;5;calculated;23.2;8.4;3.3;;;;;;;;;;
Balsari et al. (2008a);screw press;pig;raw;2;;;;;3.5;7.8;2;;;;;;;;;;
Balsari et al. (2008a);screw press;pig;lf;2;57;100;95;calculated;2.1;7.8;2.1;;;;;;;;;;
Balsari et al. (2008a);screw press;pig;sf;2;43;7;5;calculated;28.9;8.2;2.5;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;raw;3;;;;;5.7;7.6;2.1;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;lf;3;71;92;92;Table 2 and calculated;4.4;7.8;2.1;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;sf;3;32;7;8;Table 2 and calculated;22.8;8.7;1.8;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;raw;4;;;;;7.1;7.5;1.5;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;lf;4;53;97;86;Table 2 and calculated;4.4;7.8;1.7;;;;;;;;;;
Balsari et al. (2008b);screw press;cattle;sf;4;41;13;14;Table 2 and calculated;20.9;8.2;1.4;;;;;;;;;;
Cavalli et al. (2017);screw press;digestate;raw;1;;;;;6.51;8;4.56;;;;;;;;;;
Cavalli et al. (2017);screw press;digestate;lf;1;68;93;92;Table 1;4.79;8;5.1;;;;;;;;;;
Cavalli et al. (2017);screw press;digestate;sf;1;32;7;8;Table 1;25.65;9.6;2.33;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;raw;1;;;;;6.3;7.07;2.53;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;lf;1;59;140;92;table 6, wk 1;4.03;7.5;3.83;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;sf;1;35.83;0.9;8;table 6, wk 1;33.9;8.7;0.3;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;raw;3;;;;;6.17;7.03;2.63;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;lf;3;77;117;94;table 6, wk 1;5;7.13;3.27;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;sf;3;28;12;6;table 6, wk 1;26.23;8.47;5.67;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;raw;4;;;;;7.8;6.97;2.23;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;lf;4;48;159;88;table 6, wk 2;4.23;7.39;4.03;;;;;;;;;;
Fournel et al. (2019);centrifuge;cattle;sf;4;49.13;2;12;table 6, wk 2;33.5;8.47;0.4;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;raw;6;;;;;7.8;7;2.17;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;lf;6;58;138;86;table 6, wk 2;5.2;7.07;3.47;;;;;;;;;;
Fournel et al. (2019);screw press;cattle;sf;6;42.67;3;14;table 6, wk 2;24.27;8.5;0.53;;;;;;;;;;
Gooch et al. (2005);screw press;digestate;raw;1;;;;;8.32;;0.28;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;lf;1;51.8;81.3;69;Table 9, Farm AA-1, mass separation calculated from table 4;5.06;;0.27;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;sf;1;46.5;14.5;31;Table 9, Farm AA-1;24.6;;0.26;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;raw;2;;;;;7.45;;0.22;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;lf;2;39.9;87.5;71;Table 9, Farm AA-2, mass separation calculated from table 4;4.06;;0.23;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;sf;2;55.7;13.8;29;Table 9, Farm AA-2;23.7;;0.2;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;raw;3;;;;;5.5;;0.13;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;lf;3;93.8;93.3;99;Table 9, Farm ML, mass separation calculated from table 4;5.19;;0.12;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;digestate;sf;3;3.9;0.7;1;Table 9, Farm ML;29.3;;0.12;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;cattle;raw;4;;;;;9.96;;0.23;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;cattle;lf;4;38.3;77.1;77;Table 9, Farm FA, mass separation calculated from table 4;4.93;;0.22;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Gooch et al. (2005);screw press;cattle;sf;4;70.5;20.2;23;Table 9, Farm FA;25.3;;0.16;very low TAN concentrations compared to Danish conditions;;;;;;;;;
Holly et al. (2017);screw press;digestate;raw;1;;;;;5.1;7.7;1.488;;;;;;;;;;
Holly et al. (2017);screw press;digestate;lf;1;53;96;94;calculated from values in Table 1;2.9;7.8;1.524;;;;;;;;;;
Holly et al. (2017);screw press;digestate;sf;1;47;1;6;calculated from values in Table 1;38.1;9.2;0.327;;;;;;;;;;
Holly et al. (2017);screw press;cattle;raw;2;;;;;2.7;6.8;0.771;;;;;;;;;;
Holly et al. (2017);screw press;cattle;lf;2;76;103;98;calculated from values in Table 1;2.1;6.6;0.804;;;;;;;;;;
Holly et al. (2017);screw press;cattle;sf;2;24;0;2;calculated from values in Table 1;37.7;8.9;0.074;;;;;;;;;;
Højgaards (2009);screw press;cattle;raw;1;;;;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 1.;7.98;;1.7;;;;;;;;;;
Højgaards (2009);screw press;cattle;lf;1;46;86;87;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 1.;4.25;;1.68;;;;;;;;;;
Højgaards (2009);screw press;cattle;sf;1;54;15;13;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 1.;32.8;;1.9;;;;;;;;;;
Højgaards (2009);screw press;cattle;raw;2;;;;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 2.;7.98;;1.7;;;;;;;;;;
Højgaards (2009);screw press;cattle;lf;2;56;84;90;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 2.;4.97;;1.6;;;;;;;;;;
Højgaards (2009);screw press;cattle;sf;2;44;12;10;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 2.;33.8;;1.9;;;;;;;;;;
Højgaards (2009);screw press;cattle;raw;3;;;;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 3.;7.98;;1.7;;;;;;;;;;
Højgaards (2009);screw press;cattle;lf;3;53;89;87;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 3.;4.89;;1.74;;;;;;;;;;
Højgaards (2009);screw press;cattle;sf;3;47;14;13;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 3.;28.7;;1.85;;;;;;;;;;
Højgaards (2009);screw press;cattle;raw;4;;;;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 4.;7.98;;1.7;;;;;;;;;;
Højgaards (2009);screw press;cattle;lf;4;53;90;83;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 4.;5.04;;1.84;;;;;;;;;;
Højgaards (2009);screw press;cattle;sf;4;47;19;17;Email from Tonny Højgaard to anna@bce.au.dk the 19th of January 2022 forwarded jp@bce.au.dk the 24th of January 2022, test performed September 2009. Dataset on sheet 4.;22.8;;1.9;;;;;;;;;;
Højgaards (2020);screw press;digestate;raw;1;;;;;6.9;;3.4;Email from Tonny Højgaard to jp@bce.au.dk the 27th of January 2022, test performed on the 6th of October 2020;;;;;;;;;
Højgaards (2020);screw press;digestate;lf;1;71;90;93;;5.3;;3.3;Email from Tonny Højgaard to jp@bce.au.dk the 27th of January 2022, test performed on the 6th of October 2020;;;;;;;;;
Højgaards (2020);screw press;digestate;sf;1;29;7;7;;28.3;;3.3;Email from Tonny Højgaard to jp@bce.au.dk the 27th of January 2022, test performed on the 6th of October 2020;;;;;;;;;
Møller et al. (2000);screw press;cattle;raw;2;;;;;7.1;7.2;;;;;;;;;;;
Møller et al. (2000);screw press;cattle;lf;2;57;;97;;4.2;;;;;;;;;;;;
Møller et al. (2000);screw press;cattle;sf;2;14;;3;Table 3;32.3;;;;;;;;;;;;
Møller et al. (2000);screw press;cattle;raw;3;;;;;7.1;7.2;;;;;;;;;;;
Møller et al. (2000);screw press;cattle;lf;3;40;;87;;3.3;;;;;;;;;;;;
Møller et al. (2000);screw press;cattle;sf;3;40;;13;Table 3;21.6;;;;;;;;;;;;
Møller et al. (2000);screw press;pig;raw;7;;;;;5.7;7.2;;;;;;;;;;;
Møller et al. (2000);screw press;pig;lf;7;53;;95;;3.2;;;;;;;;;;;;
Møller et al. (2000);screw press;pig;sf;7;28;;5;Table 3;31.7;;;;;;;;;;;;
Møller et al. (2000);screw press;pig;raw;8;;;;;5.7;7.2;;;;;;;;;;;
Møller et al. (2000);screw press;pig;lf;8;52;;92.7;;3.2;;;;;;;;;;;;
Møller et al. (2000);screw press;pig;sf;8;28;;7.3;Table 3;21.9;;;;;;;;;;;;
Møller et al. (2002);centrifuge;pig;raw;1;;;;;5.32;7.5;3.6;Manure no 1a;;;;;;;;;
Møller et al. (2002);centrifuge;pig;lf;1;45;;86.9;;2.77;;;Manure no 1a;;;;;;;;;
Møller et al. (2002);centrifuge;pig;sf;1;60;;13.1;;24.56;;;Manure no 1a;;;;;;;;;
Møller et al. (2002);centrifuge;pig;raw;2;;;;;4.79;7.5;3.5;Manure no 1b;;;;;;;;;
Møller et al. (2002);centrifuge;pig;lf;2;54;;91.72;;2.84;;;Manure no 1b;;;;;;;;;
Møller et al. (2002);centrifuge;pig;sf;2;48;;8.28;;27.93;;;Manure no 1b;;;;;;;;;
Møller et al. (2002);centrifuge;pig;raw;3;;;;;1.71;7.2;1.3;Manure no 2;;;;;;;;;
Møller et al. (2002);centrifuge;pig;lf;3;77;;94.33;;1.39;;;Manure no 2;;;;;;;;;
Møller et al. (2002);centrifuge;pig;sf;3;62;;5.67;;18.73;;;Manure no 2;;;;;;;;;
Møller et al. (2002);centrifuge;pig;raw;4;;;;;2.55;8.3;3;Manure no 3;;;;;;;;;
Møller et al. (2002);centrifuge;pig;lf;4;65;;95.31;;1.75;;;Manure no 3;;;;;;;;;
Møller et al. (2002);centrifuge;pig;sf;4;33;;4.69;;17.82;;;Manure no 3;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;raw;5;;;;;6.37;7.4;1.7;Manure no 4;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;lf;5;38;;79.15;;3.02;;;Manure no 4;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;sf;5;65;;20.85;;19.91;;;Manure no 4;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;raw;6;;;;;5.48;7.4;1.6;Manure no 5;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;lf;6;42;;84.44;;2.75;;;Manure no 5;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;sf;6;59;;15.56;;20.78;;;Manure no 5;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;raw;7;;;;;4.49;7.9;1.5;Manure no 6;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;lf;7;48;;88.37;;2.46;;;Manure no 6;;;;;;;;;
Møller et al. (2002);centrifuge;cattle;sf;7;55;;11.63;;21.24;;;Manure no 6;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;raw;8;;;;;5.62;8.3;2.8;Manure no 7;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;lf;8;34;;86.28;;2.23;;;Manure no 7;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;sf;8;69;;13.72;;28.08;;;Manure no 7;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;raw;9;;;;;6.53;8.1;4;Manure no 8;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;lf;9;32;;85.89;;2.44;;;Manure no 8;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;sf;9;55;;14.11;;25.27;;;Manure no 8;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;raw;10;;;;;3.55;8.1;3.1;Manure no 9;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;lf;10;50;;91.18;;1.96;;;Manure no 9;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;sf;10;75;;8.82;;29.99;;;Manure no 9;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;raw;11;;;;;3.94;8.2;2.4;Manure no 10;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;lf;11;53;;90.09;;2.3;;;Manure no 10;;;;;;;;;
Møller et al. (2002);centrifuge;digestate;sf;11;51;;9.91;;20.19;;;Manure no 10;;;;;;;;;
Møller et al. (2002);screw press;pig;raw;12;;;;;5.32;7.5;3.6;Manure no 1a;;;;;;;;;
Møller et al. (2002);screw press;pig;lf;12;77;;95.79;;4.25;;;Manure no 1a;;;;;;;;;
Møller et al. (2002);screw press;pig;sf;12;27;;4.21;;34.44;;;Manure no 1a;;;;;;;;;
Møller et al. (2002);screw press;cattle;raw;13;;;;;6.37;7.4;1.7;Manure no 4;;;;;;;;;
Møller et al. (2002);screw press;cattle;lf;13;69;;94.77;;4.63;;;Manure no 4;;;;;;;;;
Møller et al. (2002);screw press;cattle;sf;13;30;;5.23;;36.47;;;Manure no 4;;;;;;;;;
Møller et al. (2002);screw press;cattle;raw;14;;;;;4.49;7.9;1.5;Manure no 6;;;;;;;;;
Møller et al. (2002);screw press;cattle;lf;14;88;;97.64;;4.03;;;Manure no 6;;;;;;;;;
Møller et al. (2002);screw press;cattle;sf;14;13;;2.36;;24.97;;;Manure no 6;;;;;;;;;
Møller et al. (2002);screw press;digestate;raw;15;;;;;5.62;8.3;2.8;Manure no 7;;;;;;;;;
Møller et al. (2002);screw press;digestate;lf;15;89;;96.15;;5.23;;;Manure no 7;;;;;;;;;
Møller et al. (2002);screw press;digestate;sf;15;18;;3.85;;26.84;;;Manure no 7;;;;;;;;;
Møller et al. (2002);screw press;digestate;raw;16;;;;;3.94;8.2;2.4;Manure no 10;;;;;;;;;
Møller et al. (2002);screw press;digestate;lf;16;73;;97.12;;2.95;;;Manure no 10;;;;;;;;;
Møller et al. (2002);screw press;digestate;sf;16;22;;2.88;;29.84;;;Manure no 10;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;1;;;;;5.1;;3.9;Manure ID 1;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;1;48.9;90.2;90.8;;2.76;;3.8;Manure ID 1;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;1;51.1;9.8;9.2;Table 2;32.7;;4;Manure ID 1;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;2;;;;;4;;2.7;Manure ID 2;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;2;48.2;92.6;93.4;;2.07;;2.6;Manure ID 2;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;2;51.8;7.4;6.6;Table 2;32.7;;3.1;Manure ID 2;;;;;;;;;
Møller et al. (2007);centrifuge;digestate;raw;3;;;;;3.2;;3.8;Manure ID 3;;;;;;;;;
Møller et al. (2007);centrifuge;digestate;lf;3;52.5;94;95.7;;1.63;;3.4;Manure ID 3;;;;;;;;;
Møller et al. (2007);centrifuge;digestate;sf;3;47.5;6;4.3;Table 2;32.6;;4.7;Manure ID 3;;;;;;;;;
Møller et al. (2007);centrifuge;cattle;raw;4;;;;;7;;2.2;Manure ID 4;;;;;;;;;
Møller et al. (2007);centrifuge;cattle;lf;4;37.3;83.9;77.5;;3.77;;2.3;Manure ID 4;;;;;;;;;
Møller et al. (2007);centrifuge;cattle;sf;4;62.7;16.1;22.5;Table 2;21.1;;1.7;Manure ID 4;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;5;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;5;37.7;90.8;88;;2.84;;4.5;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;5;62.3;9.2;12;Table 2;34.3;;3.3;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;6;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;6;30.9;87.4;84;;2.77;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;6;69.1;12.6;16;Table 2;32.5;;3.5;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;7;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;7;30.3;79;81.3;;2.56;;4.2;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;7;69.7;21;18.7;Table 2;25.6;;4.8;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;8;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;8;29.6;74;74;;2.75;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;8;70.4;26;26;Table 2;18.6;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;9;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;9;44.5;92.6;90.4;;2.81;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;9;55.5;7.4;9.6;Table 2;27.9;;3.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;10;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;10;41.6;90.1;89;;2.81;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;10;58.4;9.9;11;Table 2;31.9;;4.1;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;11;;;;;6.8;;4.62;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;11;30.9;87.4;84;;2.77;;4.6;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;11;69.1;12.6;16;Table 2;32.5;;3.5;Manure ID 5;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;12;;;;;8.9;;4.56;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;12;30.6;77.7;78.2;;4.04;;4.58;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;12;69.4;22.3;21.8;Table 2;33;;4.72;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;13;;;;;8.9;;4.56;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;13;31.3;77.3;79.3;;4;;455;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;13;68.7;22.7;20.7;Table 2;33.9;;5.13;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;raw;14;;;;;8.9;;4.56;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;lf;14;30.7;82;82.4;;3.9;;4.6;Manure ID 6;;;;;;;;;
Møller et al. (2007);centrifuge;pig;sf;14;69.3;18;17.6;Table 2;41;;4.74;Manure ID 6;;;;;;;;;
Støckler (2022);screw press;pig;raw;14;;;;Personal communication with Peter S. Nielsen, technician at Aarhus University, Department of Biological and Chemical Engineering 02-02-2022;3.77;;1.52;;;;;;;;;;
Støckler (2022);screw press;pig;lf;1;59;;91;Personal communication with Peter S. Nielsen, technician at Aarhus University, Department of Biological and Chemical Engineering 02-02-2022;2.45;;;Assuming density of liquid and untreated fraction = 1 kg/L;;;;;;;;;
Støckler (2022);screw press;pig;sf;1;53;;9;Personal communication with Peter S. Nielsen, technician at Aarhus University, Department of Biological and Chemical Engineering 02-02-2022;22.08;;;Assuming density of liquid and untreated fraction = 1 kg/L;;;;;;;;;
Støckler (2022);screw press;digestate;raw;2;;;;Personal communication with Anna Joost Støckler, PhD student at Aarhus University, Department of Biological and Chemical Engineering 07-02-2022;5.78;7.78;1.78;;;;;;;;;;
Støckler (2022);screw press;digestate;lf;2;64;88;92;Personal communication with Anna Joost Støckler, PhD student at Aarhus University, Department of Biological and Chemical Engineering 07-02-2022;3.99;7.83;1.70;;;;;;;;;;
Støckler (2022);screw press;digestate;sf;2;36;3;8;Personal communication with Anna Joost Støckler, PhD student at Aarhus University, Department of Biological and Chemical Engineering 07-02-2022;27.29;8.69;0.65;;;;;;;;;;
Støckler (2022);screw press;pig;raw;3;;;;Personal communication with Anna Joost Støckler, PhD student at Aarhus University, Department of Biological and Chemical Engineering 07-02-2022;3.75;6.98;1.51;;;;;;;;;;
Støckler (2022);screw press;pig;lf;3;;;;Personal communication with Anna Joost Støckler, PhD student at Aarhus University, Department of Biological and Chemical Engineering 07-02-2022;2.42;7.04;1.55;;;;;;;;;;
Pedersen et al. (2020);screw press;cattle;raw;1;;;;;8.7;;1.95;;;;;;;;;;
Pedersen et al. (2020);screw press ;cattle;lf;1;43;83;86;;4.4;;1.89;;;;;;;;;;
